timestamp,x,y,z,label
1657093314320,3,239,34,1
1657093314360,9,247,30,1
1657093314400,8,252,31,1
1657093314440,0,255,37,1
1657093314480,-12,252,39,1
1657093314520,-15,248,40,1
1657093314560,-9,244,41,1
1657093314600,1,241,40,1
1657093314640,6,242,38,1
1657093314680,5,246,35,1
1657093314720,1,247,32,1
1657093314760,-3,249,33,1
1657093314800,-5,250,36,1
1657093314840,-3,253,38,1
1657093314880,-2,254,39,1
1657093314920,-2,251,39,1
1657093314960,-1,244,37,1
1657093315000,-1,241,37,1
1657093315040,0,240,38,1
1657093315080,0,242,38,1
1657093315120,0,246,36,1
1657093315160,0,250,36,1
1657093315200,0,252,35,1
1657093315240,-1,252,37,1
1657093315280,-2,251,36,1
1657093315320,-2,248,37,1
1657093315360,-1,245,38,1
1657093315400,-1,243,39,1
1657093315440,1,243,37,1
1657093315480,1,245,36,1
1657093315520,0,246,34,1
1657093315560,-1,249,35,1
1657093315600,0,251,35,1
1657093315640,0,249,35,1
1657093315680,0,249,39,1
1657093315720,0,246,38,1
1657093315760,0,246,38,1
1657093315800,0,246,36,1
1657093315840,0,247,34,1
1657093315880,0,248,34,1
1657093315920,0,246,36,1
1657093315960,0,245,37,1
1657093316000,-2,246,40,1
1657093316040,0,247,39,1
1657093316080,1,249,37,1
1657093316120,2,249,34,1
1657093316160,1,250,35,1
1657093316200,-2,251,35,1
1657093316240,-5,250,37,1
1657093316280,-3,247,37,1
1657093316320,-1,246,39,1
1657093316360,0,244,38,1
1657093316400,0,244,37,1
1657093316440,0,244,35,1
1657093316480,0,247,36,1
1657093316520,0,248,33,1
1657093316560,-2,250,36,1
1657093316600,-1,249,38,1
1657093316640,-1,247,39,1
1657093316680,0,245,38,1
1657093316720,1,246,35,1
1657093316760,1,250,33,1
1657093316800,1,251,35,1
1657093316840,0,251,35,1
1657093316880,-2,248,38,1
1657093316920,-4,244,40,1
1657093316960,-4,241,41,1
1657093317000,-1,242,37,1
1657093317040,1,246,33,1
1657093317080,3,250,36,1
1657093317120,2,252,35,1
1657093317160,0,251,37,1
1657093317200,-2,249,38,1
1657093317240,-3,248,36,1
1657093317280,-3,247,36,1
1657093317320,0,243,37,1
1657093317360,-7,241,42,1
1657093317400,-1,241,45,1
1657093317440,0,247,45,1
1657093317480,-1,253,38,1
1657093317520,0,254,34,1
1657093317560,0,253,33,1
1657093317600,0,248,35,1
1657093317640,-2,241,36,1
1657093317680,-3,237,38,1
1657093317720,-2,243,41,1
1657093317760,-1,247,40,1
1657093317800,-1,250,40,1
1657093317840,1,249,38,1
